Freq_kHz,TS
38.0,-50.455401893676786
39.0,-49.8465479599679
40.0,-49.08268742664685
41.0,-51.896143668324754
42.0,-50.66248541749708
43.0,-48.42040255682612
44.0,-51.36862603571116
45.0,-50.665259046073544
46.0,-51.505727422908684
47.0,-49.54914885667019
48.0,-51.45443373604805
49.0,-51.153825397510275
50.0,-51.554079269675086
51.0,-51.395260783841216
52.0,-51.78703447743932
53.0,-51.78447343321882
54.0,-52.04250085602838
55.0,-52.150413008664565
56.0,-51.81885759527094
57.0,-52.01527272604589
58.0,-51.69647010080587
59.0,-52.628068495545655
60.0,-52.46391531081299
61.0,-52.07784357444283
